Prod,InqOrProj,ProjType,Type,Ind,IndSub,Replacement,NetValue,Date,LeadTime,CustNum,Outcome
Rhino,INQUIRY,Eng/Eng,OEM,Mining,Mining Equipment - Material Handling/Processing - Surface,No,62322,3/12/2014,16,621,Lost
Rhino,PROJECT,Eng/Eng,OEM,Mining,Mining Equipment - Other,No,431475,12/17/2014,20,628,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,5460,1/8/2014,6,452,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,33981,1/13/2015,17,352,Lost
Rhino,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,16438,11/21/2014,14,30,Lost
Rhino,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,79521,9/8/2014,8,2,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,26640,9/4/2014,12,296,Lost
Rhino,INQUIRY,Std/Std,OEM,Mining,Mining Equipment - Pumping / Fluid Handling Equipment,Yes,37740,1/21/2014,12,695,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,3005,1/3/2014,6,397,Won
Panther,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,4206,5/22/2014,9,67,Lost
Wolf,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,10823,4/10/2014,6,67,Won
Brown Bear,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,28834,10/2/2014,22,561,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,17157,3/18/2014,13,30,Won
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,3552,3/3/2014,8,452,Lost
Armadillo1,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,98181,5/23/2014,28,549,Lost
Gorilla,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,28733,1/27/2015,12,2,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,118357,3/13/2015,22,86,Lost
Rhino,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,119503,6/17/2014,20,543,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,138975,2/19/2014,20,30,Lost
Wolf,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,11877,7/1/2014,10,452,Won
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,1635,1/6/2015,6,30,Won
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,10596,7/26/2014,6,30,Lost
Yak1,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,23262,5/2/2014,22,330,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,1456,3/12/2015,6,452,Lost
Gorilla,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,14290,2/6/2014,14,206,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,6588,6/26/2014,6,30,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,9669,2/26/2014,4.2,72,Lost
Elephant,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,15532,2/4/2014,6,640,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,8839,1/16/2015,6,191,Lost
Elephant,INQUIRY,Std/Std,Unknown,Unknown,Unknown,Yes,1665,3/6/2015,6,452,Lost
Rhino,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,81226,4/27/2015,12,201,Lost
Rhino,INQUIRY,Std/Std,Unknown,Unknown,Unknown,Yes,26418,2/12/2015,13,452,Lost
Gorilla,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,27472,3/27/2014,12,452,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,10642,3/4/2015,10,452,Won
Bear,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,24170,12/8/2014,26,2,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,49347,3/14/2015,20,452,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,23322,4/18/2015,6,30,Won
Ox,PROJECT,Eng/Eng,OEM,General Industrial,Other General Industrial,No,44952,5/29/2015,14,709,Lost
Gorilla,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,11964,11/10/2014,18,432,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,3502,12/9/2014,8,590,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,4551,5/15/2015,10,452,Won
Wolf,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,3885,1/28/2014,6.4,30,Won
Lion,INQUIRY,Std/Std,IC / End User,Air and Fluid Handling,Cooling Towers,Yes,26294,12/4/2014,7,698,Lost
Moose,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,44475,2/20/2015,22,549,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,599,5/13/2014,5,452,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,22733,6/10/2014,12,191,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,36410,1/6/2014,15,30,Lost
Ox,INQUIRY,Eng/Eng,OEM,Cement & Aggregates,Construction Machinery Manufacturing,Yes,7270,8/26/2014,8,39,Won
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,39177,5/12/2015,18,352,Won
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,9059,4/24/2015,5.6,30,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,24997,7/13/2014,15,452,Lost
Yak1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,23310,3/6/2015,14,452,Lost
Wolf,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,22281,1/14/2014,8,30,Lost
Brown Bear,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,59095,10/8/2014,22,2,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,17587,5/11/2015,12,352,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,13764,5/16/2014,15,85,Lost
Rhino,PROJECT,Eng/Eng,OEM,Mining,Mining Equipment - Pumping / Fluid Handling Equipment,No,720903,10/15/2014,18,636,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,25003,1/14/2015,20,300,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,35667,3/6/2014,8,30,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,73252,5/30/2014,9,300,Lost
Black Bear,INQUIRY,Std/Std,OEM,General Industrial,Other General Industrial,Yes,21325,6/24/2014,24,273,Lost
Armadillo1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,93240,1/26/2015,12,452,Lost
Brown Bear,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,144541,8/26/2014,34,549,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,101258,2/18/2015,18,30,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,3930,2/24/2015,8,311,Lost
Rhino,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,28305,9/30/2014,16,452,Won
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,47384,3/9/2015,22,452,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,9324,4/30/2014,8,352,Lost
Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,1709,10/10/2014,5,30,Lost
Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,15087,1/22/2015,20,452,Lost
Ox,INQUIRY,Std/Std,Unknown,Unknown,Unknown,No,5644,7/23/2014,7,67,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,3583,6/10/2014,6,452,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,4412,3/27/2014,6,452,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,30126,2/17/2015,17,69,Lost
Ox,INQUIRY,Eng/Eng,OEM,Mining,Mining Equipment - Material Handling/Processing - Surface,No,16544,5/1/2014,9,412,Lost
Brown Bear,INQUIRY,Std/Std,OEM,Energy,Cooling Systems,Yes,11100,1/28/2014,20,535,Won
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,170773,3/14/2014,20,543,Won
Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,23202,5/4/2015,6,30,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,10597,4/12/2014,8,6,Lost
Armadillo1,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,78405,2/27/2014,17,561,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,27693,10/14/2014,7,394,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,23121,10/8/2014,17,296,Lost
Unknown,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,35504,2/13/2015,18,528,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,83427,10/25/2014,18,543,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,2289,2/17/2015,5,653,Lost
Rhino,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,35464,2/3/2014,16,691,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,74500,4/25/2014,13,452,Lost
Ox,INQUIRY,Eng/Eng,OEM,Wood Products,Sawmilling and Planing,Yes,4017,5/22/2014,6,145,Won
Brown Bear,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,23865,7/23/2014,20,452,Won
Ox,INQUIRY,Std/Std,Intercompany,Intercompany,Intercompany,No,16895,7/13/2014,6,557,Lost
Yak1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,106058,7/11/2014,18,30,Lost
Gorilla,INQUIRY,Eng/Eng,OEM,General Industrial,Pumps,Yes,15391,3/12/2014,12,592,Lost
Black Bear,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,60631,12/5/2014,24,218,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,4452,7/18/2014,6,452,Won
Rhino,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,95454,1/2/2014,24,216,Lost
Rhino,INQUIRY,Std/Std,Unknown,Unknown,Unknown,No,160950,2/6/2014,15,2,Lost
Wolf,INQUIRY,Std/Std,Unknown,Unknown,Unknown,No,12210,6/2/2014,10,452,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,5283,4/30/2014,10,300,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,53149,6/18/2014,20,452,Lost
Rhino,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,42513,9/18/2014,16,416,Lost
Bear,INQUIRY,Eng/Eng,OEM,General Industrial,Material Handling,No,9164,9/8/2014,6,181,Lost
Armadillo1,INQUIRY,Std/Std,Intercompany,Intercompany,Intercompany,Yes,103230,4/22/2014,20,561,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,33129,5/13/2015,15,352,Lost
Elephant,INQUIRY,Std/Std,Intercompany,Intercompany,Intercompany,No,6105,3/4/2014,8,561,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,18776,2/6/2014,9,452,Lost
Gorilla,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,14430,9/10/2014,12,452,Won
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,18044,6/11/2014,12,352,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,6053,3/3/2015,9,116,Lost
Yak1,INQUIRY,Eng/Eng,OEM,Mining,Mining Equipment - Material Handling/Processing - Surface,Yes,136393,7/16/2014,22,431,Won
Yak1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,189264,2/18/2015,18,528,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,15755,5/28/2014,6,67,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,25278,2/3/2014,18,30,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,6882,11/25/2014,6,352,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,555,3/17/2014,5,452,Lost
Rhino,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,37740,5/13/2014,17,394,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,472,1/9/2014,6,67,Lost
Rhino,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,19970,8/9/2014,15,2,Lost
Yak1,INQUIRY,Std/Std,Unknown,Unknown,Unknown,Yes,47500,3/27/2015,20,2,Lost
Armadillo1,PROJECT,Eng/Eng,Intercompany,Intercompany,Intercompany,No,279253,12/30/2014,20,213,Lost
Rhino,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,46923,1/29/2015,12,30,Lost
Panther,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,4032,10/29/2014,7,210,Lost
Gorilla,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,56805,3/13/2014,12,452,Lost
Yak1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,32095,10/15/2014,16,351,Lost
Ox,INQUIRY,Std/Std,Intercompany,Intercompany,Intercompany,Yes,24420,10/9/2014,8,554,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,5550,8/6/2014,8,452,Lost
Panther,INQUIRY,Eng/Eng,OEM,Water & Waste Water Processing,Pumps - Water,No,6975,10/14/2014,8,708,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,4869,4/9/2014,6,452,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,41070,1/7/2014,8,30,Lost
Yak1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,51060,10/20/2014,18,452,Lost
Moose,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,130109,5/23/2014,30,122,Lost
Armadillo1,INQUIRY,Eng/Eng,OEM,Energy,Other,No,174418,6/4/2014,28,259,Won
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,15540,4/29/2015,14,352,Lost
Armadillo1,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,12951,2/21/2014,16,213,Lost
Lion,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,1301,1/24/2015,5,67,Lost
Armadillo1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,77700,4/7/2014,18,543,Lost
Gorilla,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,26956,4/2/2014,12,456,Lost
Rhino,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,82443,4/30/2014,16,153,Lost
Brown Bear,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,37266,3/17/2015,15,213,Lost
Wolf,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,12432,1/21/2015,10,352,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,76173,4/21/2014,22,5,Lost
Brown Bear,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,12363,3/6/2015,15,170,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,118138,3/23/2015,22,30,Won
Armadillo1,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,156405,12/2/2014,26,2,Lost
Badger,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,53509,3/13/2014,22,452,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,10267,12/26/2014,28,452,Lost
Armadillo1,INQUIRY,Std/Std,Intercompany,Intercompany,Intercompany,Yes,73815,5/14/2014,22,549,Lost
Rhino,PROJECT,Std/Std,Distributor,Distribution,Distributor,No,140621,7/28/2014,14,452,Won
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,11810,5/15/2014,9,452,Won
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,43068,3/17/2015,12,306,Lost
Badger,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,43601,8/29/2014,20,352,Lost
Brown Bear,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,42444,3/31/2015,25,2,Lost
Wolf,INQUIRY,Std/Std,Intercompany,Intercompany,Intercompany,No,8103,7/21/2014,8,549,Lost
Ox,INQUIRY,Eng/Eng,OEM,Cement & Aggregates,Asphalt Processing and Paving Equipment,No,9064,3/28/2014,6,286,Lost
Armadillo1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,300707,2/26/2014,22,543,Lost
Yak1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,34410,8/11/2014,18,30,Lost
Gorilla,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,8433,3/5/2014,14,30,Won
Ox,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,18104,3/18/2014,7,561,Lost
Yak1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,65089,1/29/2015,20,452,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,31080,1/7/2015,10,300,Won
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,38595,1/10/2015,6,75,Lost
Moose,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,49039,2/13/2014,21,30,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,6308,5/22/2014,10,30,Lost
Rhino,INQUIRY,Eng/Eng,OEM,General Industrial,Material Handling,No,36454,3/10/2015,14,180,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,24716,12/15/2014,22,178,Won
Brown Bear,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,21700,4/9/2014,14,552,Won
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,35935,11/15/2014,18,30,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,10890,11/18/2014,11,529,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,49950,7/29/2014,10,306,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,2811,1/2/2014,8,30,Won
Armadillo1,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,18484,2/28/2014,16,549,Won
Lion,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,38301,8/20/2014,9,528,Lost
Armadillo1,INQUIRY,Std/Std,OEM,Transportation,Process Equipment for Transportation Vehicle Production,Yes,13146,9/15/2014,13,348,Won
Rhino,PROJECT,Eng/Eng,OEM,General Industrial,Other General Industrial,No,557496,4/24/2014,16,83,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,6882,4/4/2014,6,451,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,59999,6/6/2014,13,72,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,19425,8/27/2014,12,397,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,51202,5/12/2015,10,452,Won
Ox,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,25660,2/6/2014,8,562,Lost
Armadillo1,PROJECT,Eng/Eng,Distributor,Distribution,Distributor,No,65563,2/18/2015,20,452,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,45149,4/20/2015,22,543,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,23076,2/27/2014,10,67,Lost
Rhino,PROJECT,Eng/Eng,Distributor,Distribution,Distributor,No,31080,7/28/2014,16,85,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,42192,3/9/2015,10,30,Lost
Armadillo2,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,276778,2/21/2015,20,543,Lost
Horse,INQUIRY,Eng/Eng,Export House,General Industrial,Other General Industrial,No,4551,12/13/2014,8,472,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,411522,1/13/2014,21,337,Lost
Armadillo1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,175380,1/26/2015,20,452,Won
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,239824,4/8/2014,28,352,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,27861,7/25/2014,12,110,Lost
Rhino,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,144089,8/11/2014,18,634,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,7881,3/16/2015,6,30,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,22339,3/21/2015,8,452,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,55339,10/21/2014,13,85,Lost
Yak2,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,253080,12/17/2014,20,452,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,3885,10/16/2014,8,641,Won
Armadillo1,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,16778,2/4/2014,15,561,Won
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,66310,3/6/2015,8,11,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,6742,12/8/2014,6,452,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,23059,1/3/2014,8,67,Lost
Ox,INQUIRY,Std/Std,Unknown,Unknown,Unknown,No,85043,8/15/2014,6,2,Won
Badger,INQUIRY,Eng/Eng,OEM,Mining,Mining Equipment - Material Handling/Processing - Surface,No,47595,3/12/2015,20,119,Won
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,3330,1/13/2015,8,30,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,13828,3/25/2014,12,451,Lost
Yak1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,113564,4/17/2015,22,452,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,205455,10/18/2014,28,452,Lost
Panther,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,31790,3/12/2015,15,30,Lost
Brown Bear,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,21090,6/18/2014,22,185,Lost
Armadillo1,INQUIRY,Eng/Eng,IC / End User,Cement & Aggregates,Cement Manufacturing,No,117373,5/15/2015,24,333,Lost
Ox,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,18420,1/23/2014,10,567,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,43923,1/8/2015,14,452,Lost
Rhino,PROJECT,Eng/Eng,OEM,Mining,Mining Equipment - Pumping / Fluid Handling Equipment,No,830949,10/3/2014,18,636,Won
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,3321,1/19/2015,6,452,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,41319,1/28/2014,5,452,Lost
Ox,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,8276,3/11/2015,6,561,Lost
Ox,INQUIRY,Std/Std,Unknown,Unknown,Unknown,Yes,41319,7/10/2014,8,320,Lost
Wolf,INQUIRY,Std/Std,Unknown,Unknown,Unknown,Yes,4884,1/22/2015,6,2,Won
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,3859,10/29/2014,5,195,Won
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,18870,5/28/2014,6,192,Lost
Armadillo1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,53586,10/2/2014,28,30,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,27646,2/20/2015,11,452,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,11217,7/1/2014,8,352,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,31404,5/16/2014,22,30,Lost
Armadillo1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,12765,2/14/2014,15,452,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,24559,4/16/2014,16,452,Lost
Moose,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,29059,6/20/2014,28,549,Lost
Wolf,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,11324,12/8/2014,10,28,Lost
Rhino,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,15376,1/6/2015,12,557,Lost
Panther,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,20904,3/31/2014,13,550,Lost
Armadillo1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,110556,1/20/2015,18,30,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,9546,7/15/2014,7,75,Lost
Elephant,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,12419,4/19/2014,6,210,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,54172,3/16/2015,12,300,Won
Armadillo1,INQUIRY,Std/Std,Unknown,Unknown,Unknown,Yes,166500,7/7/2014,24,2,Won
Armadillo2,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,302758,7/8/2014,22,452,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,23196,4/25/2014,13,452,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,20940,10/3/2014,13,452,Won
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,2886,4/30/2014,6,352,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,30119,5/4/2015,16,30,Won
Brown Bear,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,117876,6/4/2014,24,2,Lost
Panther,INQUIRY,Eng/Eng,OEM,Construction Machinery (non-Mining),Construction Machinery Manufacturing,No,27688,5/5/2014,18,645,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,53901,1/10/2015,22,67,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,2540,4/28/2015,5,352,Lost
Yak1,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,51442,1/27/2014,18,2,Lost
Rhino,PROJECT,Eng/Eng,OEM,General Industrial,Other General Industrial,No,289773,5/29/2014,18,104,Lost
Yak1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,75432,4/14/2015,16,30,Lost
